Game Title,Category,Release Date,Developers,Publishers,Platforms,Genres,Themes,Keywords,YouTube URL,YouTube Views,YouTube Likes,YouTube ReleaseDate,SteamStatus
Grand Vegas Casino,Main Game,2026-06-17,,,Nintendo Switch,"Puzzle, Strategy, Card & Board Game",,,N/A,N/A,N/A,N/A,Console / Other
Just. Press. The Button.,Main Game,2026-06-18,,,Nintendo Switch,"Simulator, Arcade",,,N/A,N/A,N/A,N/A,Console / Other
Planet Divers,Main Game,2026-06-18,,Nostra Games,"PlayStation 4, PlayStation 5, Nintendo Switch","Shooter, Simulator, Strategy, Arcade",Action,,N/A,N/A,N/A,N/A,Console / Other
Jurnal Risa: Dark Destiny,Main Game,2026-06-18,,,"PC (Microsoft Windows), Nintendo Switch","Puzzle, Simulator, Adventure, Indie",,,N/A,N/A,N/A,N/A,Console / Other
Inversion: The Single Path,Main Game,2026-06-18,,,Nintendo Switch,"Puzzle, Adventure, Arcade",Action,,N/A,N/A,N/A,N/A,Console / Other
UsoNatsu: The Summer Romance Bloomed From a Lie,Main Game,2026-06-18,Lycoris,"Sekai Project, Lycoris","PC (Microsoft Windows), Nintendo Switch","Adventure, Visual Novel",Romance,"female protagonist, lgbtq+",https://www.youtube.com/watch?v=_IlXZZcJXqE,3626,132,2023-07-29,Console / Other
Strays POV Tales,Main Game,2026-06-19,,,Nintendo Switch,"Simulator, Adventure, Arcade",Action,,N/A,N/A,N/A,N/A,Console / Other
Offroad Craft Runner 4x4 Simulator,Main Game,2026-06-19,,,Nintendo Switch,"Racing, Simulator, Adventure",Action,,N/A,N/A,N/A,N/A,Console / Other
Dark Scrolls,Main Game,2026-06-22,doinksoft,Devolver Digital,"PC (Microsoft Windows), Nintendo Switch","Platform, Adventure, Indie",Action,"roguelike, oldschool",https://www.youtube.com/watch?v=v5pkLRPuNd0,62808,3426,2026-03-18,PC Game (Verification Error)
Wanderstop,Main Game,2026-06-23,Ivy Road,Annapurna Interactive,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Simulator, Adventure, Indie","Fantasy, Business","life simulation, 3d, crafting, cooking, female protagonist, farming, bird, story rich, colorful, steam achievements, xbox controller support for pc, steam cloud, dualshock 4 support for pc, controller support, narrative, farming simulator, cozy, reading, dualsense support for pc, nextfest february 2025",https://www.youtube.com/watch?v=Hsyvk0ArBb4,34411,982,2025-02-24,Console / Other
Medabots Card Robattle RB,Main Game,2026-06-25,Imagineer,Imagineer,Nintendo Switch,Card & Board Game,,,https://www.youtube.com/watch?v=D90j2Q1s1zY,154279,3693,2026-02-17,Console / Other
Saeko: Giantess Dating Sim,Main Game,2026-06-25,,HYPER REAL,"Linux, PC (Microsoft Windows), Mac, Nintendo Switch","Puzzle, Role-playing (RPG), Adventure, Indie, Visual Novel",Horror,"pixel graphics, day-based narrative, dating simulation, giant",https://www.youtube.com/watch?v=6xfS4I5I3D8,1483,10,2025-05-27,Console / Other
Race: Rocket Arena Car Extreme,Main Game,2026-06-25,SMOKOKO LTD,SMOKOKO LTD,"Android, PC (Microsoft Windows), iOS, Nintendo Switch","Shooter, Racing, Arcade",Action,"combat racing, auto battler",https://www.youtube.com/watch?v=A2JmYgxp5Fw,102801,976,2023-03-02,Console / Other
"Run, Sandwich, Run!",Main Game,2026-06-25,,,"PlayStation 4, PlayStation 5, Nintendo Switch","Platform, Puzzle, Strategy, Arcade",Action,,N/A,N/A,N/A,N/A,Console / Other
Kiyo: Bunny Tyranny,Main Game,2026-06-25,Pixel Rats,CobraTekku Games,"Linux, PC (Microsoft Windows), Nintendo Switch","Platform, Adventure, Indie",Action,"steam cloud, steam leaderboards, controller support",https://www.youtube.com/watch?v=kFEPWBAo8hg,996,16,2025-06-05,Console / Other
The Artifactory,Main Game,2026-06-25,Berries Studios,Berries Studios,"PC (Microsoft Windows), Nintendo Switch","Simulator, Adventure, Indie","Action, Fantasy, Comedy, Party","couch co-op, shared screen, nextfest february 2026",https://www.youtube.com/watch?v=EdvV_jpAV9M,1330,40,2025-03-04,Console / Other
Mamiya,Main Game,2026-06-25,Kenkou Land,Fruitbat Factory,"PC (Microsoft Windows), Nintendo Switch","Adventure, Visual Novel","Action, Fantasy, Horror, Drama, Mystery","casual, dark, atmospheric, emotional, story rich, choices matter, lgbtq+",https://www.youtube.com/watch?v=kUyPGh8D7rM,19474,587,2020-11-30,Console / Other
The Last Grape,Main Game,2026-06-30,Burning Goat,,"PC (Microsoft Windows), Nintendo Switch","Adventure, Indie",Action,pixel art,https://www.youtube.com/watch?v=ZRY7z_eImFw,3011,70,2024-12-11,PC Game (Verification Error)
The Requiem of Shadows,Main Game,2026-06-30,,,"PC (Microsoft Windows), Nintendo Switch",,,,https://www.youtube.com/watch?v=YGwFKkhHoIg,5004,210,2025-06-07,PC Game (Verification Error)
Go-Go Town!,Main Game,2026-06-30,Prideful Sloth,Prideful Sloth,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Simulator, Indie",Sandbox,"life simulation, management, town building",https://www.youtube.com/watch?v=d-V6K2gtvbg,19710,236,2025-08-07,PC Game (Verification Error)
Nightmare Circus,Main Game,2026-06-30,FairPlay Studios,Red Dunes Games,"Xbox Series X|S, PlayStation 4, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Adventure, Indie","Action, Fantasy","action-adventure, nightmare, unique battle system, unique art style",https://www.youtube.com/watch?v=XjFiEIEOQeQ,491,26,2026-02-23,Console / Other
The Elder Scrolls: Blades,Main Game,2026-06-30,Bethesda Game Studios,"Bethesda Softworks, Bethesda Game Studios","Android, iOS, Nintendo Switch","Role-playing (RPG), Adventure","Action, Fantasy, Open world","arena, character customization, magic, roguelike, leveling, dungeon crawling, procedurally generated, melee combat, free-to-play, linear gameplay, quest hub, endless mode, dungeon, quest, mobile games, town management",https://www.youtube.com/watch?v=9eNVJFyiDR8,193598,1614,2019-06-12,Console / Other
Nocturnal II,Main Game,2026-06-30,Sunnyside Games,,"PC (Microsoft Windows), Nintendo Switch","Adventure, Indie","Action, Fantasy",,https://www.youtube.com/watch?v=iDtgs7muyxI,231,2,2026-05-27,Console / Other
Void Martyrs,Main Game,2026-06-01,Mac n Cheese Games,Mac n Cheese Games,PC (Microsoft Windows),"Role-playing (RPG), Adventure","Action, Fantasy, Science fiction, Horror, Survival",survival horror,https://www.youtube.com/watch?v=RronEZTjkwY,21778,490,2025-06-07,PC Game (Verification Error)
A Simple Life with My Unobtrusive Sister,Main Game,2026-06-01,,Saikey Studios,PC (Microsoft Windows),"Role-playing (RPG), Simulator",Action,nsfw version exists,https://www.youtube.com/watch?v=HvP_FOvus1k,77049,948,2025-05-28,PC Game (Verification Error)
Fallout: New Vegas - 15th Anniversary Bundle,Main Game,2026-06-01,,,PC (Microsoft Windows),,,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Archwizard,Main Game,2026-06-01,Toster12D3,A Game From Low Polystan,PC (Microsoft Windows),Shooter,"Action, Fantasy","bullet hell, arena shooter, psychedelic, surreal, score attack, steam achievements, steam leaderboards, controller support, minimalist, steam families",https://www.youtube.com/watch?v=kxq1kLqxw3I,56,4,2025-07-04,PC Game (Verification Error)
Until the End,Main Game,2026-06-01,,,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie, Visual Novel",,nextfest october 2025,N/A,N/A,N/A,N/A,PC Game (on Steam)
Orbital,Main Game,2026-06-01,Classy Games,Classy Games,PC (Microsoft Windows),"Music, Strategy, Tactical, Indie, Arcade","Survival, Warfare","destruction, space, pve, nanotechnology, leaderboard, united federation of planets, roguelite, technology, mars, jupiter, endless, competition",N/A,N/A,N/A,N/A,PC Game (on Steam)
Golel,Main Game,2026-06-01,Ofer Rubinstein,,"PC (Microsoft Windows), SteamVR","Role-playing (RPG), Indie",,vr experience,https://www.youtube.com/watch?v=ZwX7olG8V6w,194,1,2025-02-20,PC Game (on Steam)
Wheel Balance,Main Game,2026-06-01,Okiddy Games,Okiddy Games,PC (Microsoft Windows),"Platform, Indie",Action,"psychological horror, stylized, funny, physics-based platformer, precision platforming",https://www.youtube.com/watch?v=TITUGoPgq9Y,11,0,2026-02-06,PC Game (on Steam)
Chrysalis: Chrome Butterfly,Main Game,2026-06-01,,,PC (Microsoft Windows),Indie,Action,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
Dragon Guardians,Main Game,2026-06-01,,,"PC (Microsoft Windows), Mac","Puzzle, Role-playing (RPG)",Action,"steam achievements, ai-generated artwork, ai-generated coding, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
Beam It Up!,Main Game,2026-06-01,,,PC (Microsoft Windows),Simulator,,"accessibility options, mouse only option, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
Shape World Level up Lite,Main Game,2026-06-01,,,PC (Microsoft Windows),"Strategy, Indie",,"steam achievements, adjustable difficulty, accessibility options, ai-generated artwork, ai-generated music, ai-generated text, save anytime, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
Whiskers Tale,Main Game,2026-06-01,,,PC (Microsoft Windows),"Simulator, Adventure, Indie",,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
Fragile Frontier,Main Game,2026-06-01,,,PC (Microsoft Windows),"Racing, Adventure",Action,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
Black Border 3,Main Game,2026-06-01,,,PC (Microsoft Windows),Simulator,,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
Murderous Sunlight,Main Game,2026-06-01,,,PC (Microsoft Windows),Indie,,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
PawlleyBall,Main Game,2026-06-01,,,PC (Microsoft Windows),"Sport, Indie",Action,"steam achievements, accessibility options, save anytime, playable without timed input, custom volume controls, keyboard only option, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
Celestial Lumina,Main Game,2026-06-01,,,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie",Action,"accessibility options, color alternatives, custom volume controls, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
Space Empires 4X,Main Game,2026-06-01,,,"Linux, PC (Microsoft Windows), Mac",Strategy,"4X (explore, expand, exploit, and exterminate)","steam achievements, accessibility options, ai-generated voices, ai-generated coding, save anytime, playable without timed input, camera comfort, nextfest february 2026",N/A,N/A,N/A,N/A,Non-Steam PC Game
Kal,Main Game,2026-06-01,,,PC (Microsoft Windows),"Adventure, Indie",Horror,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
They Are Rising,Main Game,2026-06-01,,,PC (Microsoft Windows),"Role-playing (RPG), Indie","Action, Horror",nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (on Steam)
Kurage no Gakkou,Main Game,2026-06-01,,,PC (Microsoft Windows),"Indie, Visual Novel",,,N/A,N/A,N/A,N/A,Non-Steam PC Game
Furniture Fu,Main Game,2026-06-01,,,PC (Microsoft Windows),Indie,Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Damashi Game,Main Game,2026-06-01,Watashi Games,Watashi Games,PC (Microsoft Windows),"Shooter, Puzzle, Simulator, Strategy, Indie","Action, Horror, Survival, Party","space strategy, psychological horror, psychological thriller, social deduction, deception",N/A,N/A,N/A,N/A,PC Game (on Steam)
What Happened At Sugar Hill?,Main Game,2026-06-01,,,PC (Microsoft Windows),"Adventure, Indie","Action, Horror","walking simulator, first person horror",N/A,N/A,N/A,N/A,PC Game (on Steam)
Narcissist Tail,Main Game,2026-06-01,,,PC (Microsoft Windows),"Role-playing (RPG), Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
"One Song, One Life",Main Game,2026-06-01,,,PC (Microsoft Windows),"Music, Adventure, Indie",,,https://www.youtube.com/watch?v=inwkZTkrsAk,2284,50,2025-10-24,PC Game (on Steam)
Lirai: Heir Of Darkness,Main Game,2026-06-01,Cryorbis Studio,Cryorbis Studio,PC (Microsoft Windows),"Role-playing (RPG), Hack and slash/Beat 'em up","Action, Fantasy, Horror, Stealth","zombies, sword, demons, apocalypse, realistic, boss fight, action combat, stylish action, hack'n'slash, third person rpg",https://www.youtube.com/watch?v=RReCRKN3xNk,38722,492,2026-01-06,PC Game (on Steam)
Between Sessions,Main Game,2026-06-01,Entropy Cat Studio,Entropy Cat Studio,PC (Microsoft Windows),Role-playing (RPG),,,N/A,N/A,N/A,N/A,Non-Steam PC Game
Postponed,Main Game,2026-06-01,,,"PC (Microsoft Windows), Mac","Strategy, Indie, Arcade",Business,"roguelite, office, monster, game dev simulator, game dev",N/A,N/A,N/A,N/A,PC Game (on Steam)
The Door at the End of the Hall,Main Game,2026-06-01,renolc.games,,"Linux, PC (Microsoft Windows), Mac","Puzzle, Simulator, Adventure, Indie","Horror, Mystery","walking simulator, anomaly hunt",https://www.youtube.com/watch?v=f2gZWXBGJh8,25,1,2026-04-06,PC Game (on Steam)
Starforged Legacy,Main Game,2026-06-01,Second Shift Games,Second Shift Games,PC (Microsoft Windows),"Indie, Arcade","Action, Science fiction, Survival","bullet hell, roguelite, bullet heaven, action roguelike",https://www.youtube.com/watch?v=aleMndt6dxE,236,10,2025-12-04,PC Game (on Steam)
Eternal Hatred,Main Game,2026-06-01,HATRED Entertainment,HATRED Entertainment,PC (Microsoft Windows),"Shooter, Adventure, Indie","Action, Horror, Drama, Mystery","indie developer, russian, slasher, boomer shooter, action roguelike",https://www.youtube.com/watch?v=uzwfpwZhD34,385,25,2026-01-29,PC Game (on Steam)
Don't Let It Starve,Main Game,2026-06-01,Eduardo Scarpato,Eduardo Scarpato,PC (Microsoft Windows),"Simulator, Strategy",Horror,"adjustable difficulty, accessibility options, save anytime, playable without timed input, stereo sound, surround sound",https://www.youtube.com/watch?v=be-1vH5qxzw,269,12,2026-04-23,PC Game (on Steam)
Bug Drop,Main Game,2026-06-01,These Are Serious Games,,PC (Microsoft Windows),Indie,"Action, Science fiction","aliens, bugs, hero, bullet heaven",https://www.youtube.com/watch?v=ouGFkZU-isE,16527,1,2026-04-22,PC Game (Verification Error)
Rancher: A New Life,Main Game,2026-06-01,,,PC (Microsoft Windows),"Simulator, Indie",,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
The Tenth Minute,Main Game,2026-06-01,XU S.A Studio,XU S.A Studio,PC (Microsoft Windows),"Adventure, Indie, Visual Novel","Drama, Mystery, Romance",,N/A,N/A,N/A,N/A,PC Game (Verification Error)
3 Sheep Puzzle,Main Game,2026-06-01,Noel Oigres,Noel Oigres,PC (Microsoft Windows),"Puzzle, Strategy, Indie",,"casual, grid-based movement, relaxing, sokoban",https://www.youtube.com/watch?v=RDTzPI5tOZw,11,2,2026-04-19,PC Game (Verification Error)
Rift Wizard 3,Main Game,2026-06-01,,,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Indie",,"steam achievements, mouse only, accessibility options, playable without timed input, custom volume controls, keyboard only option",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Gretel's Honesty,Main Game,2026-06-01,,,PC (Microsoft Windows),"Adventure, Indie, Visual Novel",Fantasy,"female protagonist, witches, multiple endings, hand-drawn, short game, based on - fairy tale",https://www.youtube.com/watch?v=k64DuNj5XlQ,776,13,2025-02-14,PC Game (Verification Error)
Schizophrenia: R.E.M. Protocol,Main Game,2026-06-01,,,PC (Microsoft Windows),"Adventure, Indie",,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Bee Streamer Idler,Main Game,2026-06-01,Aspvera Studio,Aspvera Studio,PC (Microsoft Windows),"Simulator, Indie",,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Pour Boy and the Nitro Necromancer,Main Game,2026-06-01,Keith Baudry Smith Jr,Ole Bones,PC (Microsoft Windows),"Platform, Indie",Action,"2d, 2d platformer",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Grinnel,Main Game,2026-06-01,,,PC (Microsoft Windows),"Puzzle, Adventure, Indie","Action, Horror","steam achievements, accessibility options, ai-generated artwork, ai-generated text, ai-generated sound effects, color alternatives, stereo sound, custom volume controls, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Caliban,Main Game,2026-06-01,,,"Linux, PC (Microsoft Windows), Mac",Strategy,Fantasy,roguelike deckbuilder,https://www.youtube.com/watch?v=V8e9Ksa9CtM,37,1,2026-04-28,PC Game (Verification Error)
Immunity Protocol,Main Game,2026-06-01,Ijijanbos,Ijijanbos,PC (Microsoft Windows),Indie,Action,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Shift Happens,Main Game,2026-06-01,JajaCodes,JajaCodes,PC (Microsoft Windows),"Role-playing (RPG), Simulator",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Decimation,Main Game,2026-06-01,Elementum Software Development Services,,PC (Microsoft Windows),"Strategy, Indie","Action, Science fiction","accessibility options, stereo sound, custom volume controls, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
Focus Grove,Main Game,2026-06-01,,,PC (Microsoft Windows),"Simulator, Indie",,"accessibility options, save anytime, playable without timed input, mouse only option, custom volume controls, touch only option, surround sound, nextfest february 2026",https://www.youtube.com/watch?v=-scnE5LhqbE,286,10,2026-05-18,PC Game (on Steam)
Sister Ray,Main Game,2026-06-01,The Growing Stones,The Growing Stones,PC (Microsoft Windows),"Point-and-click, Role-playing (RPG), Adventure, Indie","Survival, Drama","drugs, social issues, addiction, drug abuse, siblings, nextfest february 2026",https://www.youtube.com/watch?v=T20cAYAxLgw,2996,60,2024-10-01,PC Game (on Steam)
Ake no Yosuga: Twilight Loop,Main Game,2026-06-01,,,PC (Microsoft Windows),"Adventure, Indie, Visual Novel",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Muri: Wildwoods,Main Game,2026-06-01,Speldosa Interactive,Speldosa Interactive,"Linux, PC (Microsoft Windows)","Platform, Puzzle, Adventure, Indie",Action,,https://www.youtube.com/watch?v=xby_bS0lqDU,8614,555,2026-05-21,PC Game (on Steam)
Freefall '95,Main Game,2026-06-01,,,"PC (Microsoft Windows), Mac","Sport, Adventure, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
A Simple Square,Main Game,2026-06-01,,,"Linux, PC (Microsoft Windows)",Indie,,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Warehouse 30,Main Game,2026-06-01,,,PC (Microsoft Windows),"Simulator, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Chef Knight,Main Game,2026-06-01,Clover Bite,Clover Bite,PC (Microsoft Windows),"Simulator, Strategy, Hack and slash/Beat 'em up, Indie","Action, Fantasy, Business",incremental,https://www.youtube.com/watch?v=0LThddcqgZg,90,3,2026-05-17,PC Game (on Steam)
Silent Noise: Prologue,Main Game,2026-06-01,MSP Games,MSP Games,"PC (Microsoft Windows), Mac",Adventure,"Horror, Thriller, Survival","psychological horror, psychological thriller, walking simulator, first person horror, emotional narrative",https://www.youtube.com/watch?v=UzcaRCHeKow,67,6,2026-05-15,Non-Steam PC Game
The Labyrinth on Burrow Hill,Main Game,2026-06-01,Jonny Haynes,Jonny Haynes,PC (Microsoft Windows),"Puzzle, Adventure, Indie",Mystery,,https://www.youtube.com/watch?v=lUc5sarOVu0,24,4,2026-05-20,PC Game (on Steam)
Tenebrix,Main Game,2026-06-01,ColdForge Games,ColdForge Games,PC (Microsoft Windows),"Strategy, Card & Board Game",Fantasy,"roguelike, dungeon crawler, deckbuilder, deckbuilding",N/A,N/A,N/A,N/A,PC Game (on Steam)
Underchoice,Main Game,2026-06-01,,,PC (Microsoft Windows),"Role-playing (RPG), Simulator, Adventure, Indie",Science fiction,,https://www.youtube.com/watch?v=boXkuUVLtM8,3291,14,2026-01-22,PC Game (on Steam)
Suck It Up!,Main Game,2026-06-01,,Breda University of Applied Sciences,PC (Microsoft Windows),"Simulator, Adventure, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Irradiate 235,Main Game,2026-06-02,Team Boulder Games,Team Boulder Games,PC (Microsoft Windows),"Simulator, Adventure, Indie","Action, Sandbox",,N/A,N/A,N/A,N/A,PC Game (on Steam)
My Little Cafe Nightmare,Main Game,2026-06-02,SethMadDev,Ivy Juice Games,PC (Microsoft Windows),"Simulator, Indie",Sandbox,"3d, business simulation, economy, cozy, coffee",https://www.youtube.com/watch?v=2GWrY1fqt9g,504,2,2026-03-02,PC Game (on Steam)
OddFauna: Secret of the Terrabeast,Main Game,2026-06-02,,,PC (Microsoft Windows),"Simulator, Adventure, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Rogue 'n' Roll: Dice of Fate,Main Game,2026-06-02,JokkelGames,JokkelGames,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie","Action, Fantasy",roguelike,https://www.youtube.com/watch?v=pcmkbpK6vaM,10,3,2026-03-29,PC Game (on Steam)
I Am Better Than You,Main Game,2026-06-02,Pablosoft,Pablosoft,PC (Microsoft Windows),"Shooter, Indie, Arcade","Action, Science fiction, Comedy",,https://www.youtube.com/watch?v=5cejhD_Z4bw,91,11,2026-05-06,PC Game (on Steam)
Monster Ops 19,Main Game,2026-06-02,Y Press Games,Y Press Games,"Linux, PC (Microsoft Windows), Mac",Visual Novel,Erotic,"nsfw, sexual content",N/A,N/A,N/A,N/A,Non-Steam PC Game
Campsite Hustle,Main Game,2026-06-02,Red Shore Games,Red Shore Games,"PC (Microsoft Windows), Mac","Simulator, Indie",Business,"steam achievements, accessibility options, save anytime, mouse only option, stereo sound, custom volume controls, keyboard only option, camera comfort, surround sound, nextfest october 2025",https://www.youtube.com/watch?v=6qkULTrzbyI,1485,74,2026-05-11,Non-Steam PC Game
Unlucky Mummy,Main Game,2026-06-02,Karaclan,Karaclan,"PC (Microsoft Windows), Mac",,,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Satisfactory 1.2,Unknown,2026-06-02,,,PC (Microsoft Windows),,,,https://www.youtube.com/watch?v=PWd8wHm22LQ,300715,16477,2026-05-19,Non-Steam PC Game
Arcane Merchant,Main Game,2026-06-02,Findie Studios,Findie Studios,PC (Microsoft Windows),"Simulator, Indie","Fantasy, Business, Mystery","medieval, 3d, management, stylized, cute, building, atmospheric, surreal, economy, relaxing, colorful, indie developer, cozy, collectathon, immersive sim, shop keeper, ai-generated concepts, shop simulator",N/A,N/A,N/A,N/A,PC Game (on Steam)
Ourlands,Main Game,2026-06-02,GrahamOfLegend,GrahamOfLegend,"Linux, PC (Microsoft Windows), Mac","Simulator, Indie",,"2d, relaxing, city builder, cozy",https://www.youtube.com/watch?v=tyHJhj7Zk4A,2298,57,2026-05-21,PC Game (on Steam)
Ward X,Main Game,2026-06-02,,,PC (Microsoft Windows),"Puzzle, Adventure, Indie",Horror,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Battleship Command,Main Game,2026-06-02,,MicroProse,PC (Microsoft Windows),"Simulator, Strategy","Action, Warfare",,https://www.youtube.com/watch?v=I56c3FdYXqQ,23948,1201,2025-11-18,PC Game (on Steam)
Astro Colony,Main Game,2026-06-02,Terad Games,Terad Games,PC (Microsoft Windows),"Simulator, Strategy, Adventure, Indie","Action, Sandbox, Open world",,https://www.youtube.com/watch?v=e9SMLd13XDA,10156,284,2026-05-10,PC Game (on Steam)
Fatekeeper,Main Game,2026-06-02,Paraglacial,THQ Nordic,PC (Microsoft Windows),"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure",Action,,https://www.youtube.com/watch?v=x9xHZodgC2Y,303451,12217,2025-08-01,PC Game (on Steam)
Fortune Mill,Main Game,2026-06-02,LavaFlame2,,PC (Microsoft Windows),"Simulator, Indie",Fantasy,"incremental game, idler, idle, incremental",https://www.youtube.com/watch?v=oQkVqTZ2FhY,3,0,2026-05-29,PC Game (Verification Error)
Ultra0,Main Game,2026-06-02,GCM,GCM,PC (Microsoft Windows),Visual Novel,"Action, Romance","steam achievements, controller required, nextfest february 2026",https://www.youtube.com/watch?v=BtkqNxCAd0w,105,4,2026-05-26,PC Game (Verification Error)
Spa World,Main Game,2026-06-03,,,PC (Microsoft Windows),"Simulator, Strategy",Business,"micromanagement, business simulation, interior design, isometric",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Echoes of the Museum,Main Game,2026-06-03,Vania Studios,,PC (Microsoft Windows),Adventure,"Fantasy, Horror, Survival, Mystery",psychological horror,https://www.youtube.com/watch?v=T5TBdQVg6W0,7,0,2026-05-21,PC Game (Verification Error)
Mini Lucy,Main Game,2026-06-03,N/A,,PC (Microsoft Windows),"Platform, Adventure, Indie",Kids,"exploration, 3d platformer, tiny protagonist",https://www.youtube.com/watch?v=xP3Wm0CR3sU,107,2,2026-01-08,PC Game (Verification Error)
Chicken Coop Invaders,Main Game,2026-06-04,Miris Mind,Miris Mind,PC (Microsoft Windows),"Shooter, Indie",Action,"tower defense, chicken, brazil, made in brazil, alien, slingshot",https://www.youtube.com/watch?v=-3xMINuSFLM,55,3,2026-01-15,PC Game (Verification Error)
Pro Cycling Manager 26,Main Game,2026-06-04,Cyanide Studio,Nacon,PC (Microsoft Windows),"Simulator, Sport",,"realism, cycling",https://www.youtube.com/watch?v=fNAwVxJkjMk,1004,5,2026-03-24,PC Game (Verification Error)
There's Nothing Down There,Main Game,2026-06-04,Tim Trankle,Tim Trankle,PC (Microsoft Windows),"Adventure, Indie",Horror,"underwater, submarine, short game",https://www.youtube.com/watch?v=tgG8C9Ak8Ug,176732,4509,2026-04-01,PC Game (Verification Error)
Swan Song,Main Game,2026-06-04,Business Goose Studios,,PC (Microsoft Windows),"Music, Puzzle, Indie",,"cozy, grid-based puzzles",https://www.youtube.com/watch?v=I9S34mF0yXE,239,6,2026-04-16,PC Game (Verification Error)
The Quiet Things,Main Game,2026-06-04,Silver Script Games,Silver Script Games,PC (Microsoft Windows),"Point-and-click, Adventure, Indie, Visual Novel",Drama,"story rich, mental health, narrative, abuse",https://www.youtube.com/watch?v=zTfnX-W1Q3g,2445,78,2024-09-13,PC Game (Verification Error)
Shepherd Knight,Main Game,2026-06-04,Cadabra Games,Cadabra Games,PC (Microsoft Windows),"Puzzle, Adventure, Indie","Action, Fantasy","exploration, female protagonist, stylized, cute, explorable world, dog, relaxing, sheep, single-player only, environmental puzzles, indie developer",https://www.youtube.com/watch?v=ZPcpyL-sDnA,200,18,2026-04-29,PC Game (Verification Error)
Upload Aliens,Main Game,2026-06-04,,,PC (Microsoft Windows),"Role-playing (RPG), Indie",Action,"adjustable difficulty, accessibility options, playable without timed input, custom volume controls, keyboard only option, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (Verification Error)
You Know The Drill,Main Game,2026-06-04,ludokai,Catoptric Games,PC (Microsoft Windows),"Simulator, Strategy, Indie",,"pixel graphics, mining, incremental game, drill, crt filter",https://www.youtube.com/watch?v=EtzREOTnopQ,145,7,2025-12-10,PC Game (on Steam)
Comatose,Main Game,2026-06-04,Lucky Dart,The Bueno Interactive,PC (Microsoft Windows),Adventure,"Action, Horror",,N/A,N/A,N/A,N/A,PC Game (on Steam)
Snacktorio,Main Game,2026-06-04,TNgineers,,"Linux, PC (Microsoft Windows), Mac",Simulator,,,https://www.youtube.com/watch?v=bS_TrfLcJ10,275,9,2026-05-13,PC Game (on Steam)
Defi's Devotion,Main Game,2026-06-04,,,PC (Microsoft Windows),"Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy, Adventure, Indie","Action, Fantasy, Stealth",,N/A,N/A,N/A,N/A,PC Game (on Steam)
